# redshift                Ha6563rest              OII3726rest             OII3729rest             OIII4959rest            OIII5007rest            
  9.785912532460628e-01   4.242720260656800e+39   2.062987611963543e+38   3.061192805819452e+38   1.726596409155763e+39   5.200164854829005e+39   
  8.398335742280503e-01   8.939495370636749e+40   3.654697116037093e+39   5.426257719734654e+39   2.388557096587962e+40   7.196669068607239e+40   
  8.400064268141900e-01   2.150386736621264e+37   3.952363382952620e+35   5.859825911279382e+35   6.583510847242047e+36   1.983414476399568e+37   
  8.429696056254339e-01   2.383961842643127e+40   1.102462316422612e+39   1.635560649417475e+39   9.750626789174581e+39   2.936562471980438e+40   
  8.425260837926549e-01   2.481697332313367e+40   1.094841331443631e+39   1.624192269258167e+39   9.776584239982886e+39   2.944298480590713e+40   
  8.392158702198611e-01   4.089503611180093e+40   1.963423071200904e+39   2.913668517022703e+39   1.603007869151563e+40   4.828048003543299e+40   
  8.450518024494249e-01   3.178708011480816e+40   1.478013753085824e+39   2.193722979245882e+39   1.133233065148463e+40   3.413507339527377e+40   
  8.363584628553349e-01   6.161581504254069e+40   2.411290715145733e+39   3.579764217043246e+39   1.468629099523706e+40   4.424638868116214e+40   
  8.403166869527798e-01   8.062586658120481e+39   3.950688748348954e+38   5.861604220860799e+38   3.414993435091488e+39   1.028513071976877e+40   
  8.385985447622071e-01   4.181896931339065e+37   1.032836655091923e+36   1.531224721386223e+36   2.113299041447432e+37   6.367245036559473e+37   
  8.368378361607427e-01   4.047124204093658e+39   1.551668571087443e+38   2.301876454698596e+38   1.442809802358886e+39   4.344790424145205e+39   
  8.370448191994859e-01   3.456607076938769e+38   1.440659302574310e+37   2.140881095997469e+37   1.572329383505103e+38   4.736236621578575e+38   
  8.331507700082883e-01   1.565198811261214e+40   4.898895181861366e+38   7.278174998984191e+38   2.084942604229447e+39   6.280924532242745e+39   
  8.387142492546431e-01   4.716828758616280e+39   2.294244001005106e+38   3.403802526090955e+38   2.012156432158485e+39   6.060076463472496e+39   
  8.377129726455825e-01   2.147453115205755e+41   6.463019822330575e+39   9.025738793621373e+39   9.963347049455452e+40   2.996326603503077e+41   
  8.350823686024982e-01   2.310277932558301e+40   1.129044495799252e+39   1.675192014042496e+39   9.679612602458859e+39   2.915331672074534e+40   
  8.382842949392963e-01   3.411289440326724e+42   5.749204286408544e+40   6.899487183237528e+40   1.347396489184182e+42   4.055758017244575e+42   
  8.388834290895071e-01   1.024495813785264e+40   4.958137503122180e+38   7.357540663042011e+38   4.092682806933356e+39   1.232644682760599e+40   
  8.390057926880732e-01   2.884624988135457e+39   1.413530466380711e+38   2.097121194855321e+38   1.242488145681583e+39   3.741969358659194e+39   
