# z    ,     O[III] EW / H beta EW
     0.811210,      4.20938
     0.721684,      1.73631
     0.848900,     -733.407
     0.792162,      1.62543
     0.766770,      4.48903
     0.670653,      1.27493
     0.765204,     0.144443
     0.810706,     -2225.95
     0.671628,     0.753267
     0.768484,      3.35434
     0.744702,     0.759839
     0.657703,     0.265404
     0.657903,     0.265404
     0.769082,     0.922394
     0.799269,     -948.326
     0.835187,     -1766.28
     0.662363,      1.72570
     0.662358,      1.72570
     0.670257,     0.419423
     0.746155,      1.66268
     0.660751,      2.02082
     0.671125,      1.57461
     0.815839,     -339.768
     0.745887,     0.379990
     0.660029,      2.61702
     0.658885,      2.88786
     0.872816,     -4797.53
     0.872365,     -4797.53
     0.809597,      2.43304
     0.768456,      2.33177
     0.766900,      3.23898
     0.745039,     0.471306
     0.746652,      1.08358
     0.746844,      4.00607
     0.746311,     0.499497
     0.827310,     0.774330
     0.753283,     0.877806
     0.810521,    -0.630857
     0.755462,    -0.323686
     0.832376,     -741.806
     0.744840,      2.22820
     0.753352,    -0.125698
     0.753386,    -0.125698
     0.744539,      2.26079
     0.832435,     -2676.87
     0.778383,     0.999967
     0.772393,      2.34267
     0.827901,    0.0642032
     0.793450,      2.91241
     0.770146,     0.558414
     0.836238,     -489.694
     0.820437,      1.66077
     0.832477,     -803.422
     0.771162,      1.23949
     0.833400,     -927.474
     0.831816,     -1895.74
     0.775222,     0.558621
     0.794385,      6.36879
     0.765865,      2.34750
     0.765713,      2.34750
     0.819698,     -1627.57
     0.811506,     -1686.13
     0.771988,     -619.241
     0.738883,     -496.739
     0.738988,     -496.739
     0.835791,     -1254.50
     0.833440,     0.961414
     0.757225,     0.672538
     0.764876,      1.12752
     0.719815,      1.95058
     0.748652,     -620.962
     0.769853,      1.40422
     0.668200,     0.910015
     0.748778,     -1277.95
     0.678315,     0.810658
     0.684311,      1.90942
     0.831586,     -993.769
     0.831552,     -993.769
     0.721300,      2.60702
     0.832272,     -409.362
     0.836504,     -558.715
     0.715438,      1.87197
     0.673735,    -0.381388
     0.800347,     -737.912
     0.834090,     -446.369
     0.834904,     -377.454
     0.685993,      2.50713
     0.676154,      1.11530
     0.831611,      4.49525
     0.679973,      1.16939
     0.836977,     -569.691
     0.713349,      2.48553
     0.771707,      5.03987
     0.673914,     0.321789
     0.725415,     0.216157
     0.720358,      1.59745
     0.816720,     0.339882
     0.664069,     0.748668
     0.659492,     0.954354
     0.676108,      1.85875
     0.658991,      2.07945
     0.835932,     -756.853
     0.745858,     0.762902
     0.836487,     -373.523
     0.834822,     -1855.36
     0.717004,      1.34833
     0.655141,      1.21335
     0.835451,     -846.940
