# z   ,    O[III] EW / O[II] EW
      1.11365,     -100.451
      1.11350,     -100.451
      1.10918,     -278.434
      1.16575,     -497.491
     0.806574,     0.509181
     0.849873,     -280.388
     0.850163,     -468.514
     0.958595,     -385.526
     0.918988,     -130.725
      1.11995,     -202.523
      1.20169,     -103.304
     0.761249,     0.763850
     0.761218,     0.763850
     0.796748,     -223.487
     0.803470,     -210.364
      1.04302,     -395.787
      1.08994,     -243.831
     0.891840,     -317.595
      1.16660,     -586.103
     0.872823,     -205.593
      1.12425,     -368.465
     0.993363,     -348.694
     0.778289,     0.176024
      1.11354,     -100.563
      1.04429,     -210.047
     0.801728,     -280.041
     0.959557,     -1142.85
      1.29163,     -345.255
      1.12580,     -295.269
      1.08517,     -250.464
      1.15460,     -215.779
      1.01322,     -125.194
      1.01343,     -125.194
     0.914522,     -117.490
     0.833213,     -222.570
      1.02529,     -442.038
      1.28588,     -267.790
      1.20437,     -116.486
     0.901522,     -1015.48
     0.903572,     -328.236
     0.903635,     -328.236
      1.09574,     -592.802
     0.996525,     -506.088
     0.764182,      1.00903
     0.808065,     0.856741
     0.829014,     -176.002
      1.03016,     -266.038
      1.03396,     -1945.60
      1.34759,     -143.353
      1.02908,     -235.249
      1.26027,     -156.557
     0.847230,     -287.233
     0.986168,     -762.472
     0.756976,     0.660389
     0.757481,     0.260064
     0.988246,     -302.061
     0.931013,     -1212.14
      1.03039,     -220.658
      1.02833,     -90.5512
     0.765616,     0.858326
     0.877366,     -205.946
      1.06311,     -208.591
      1.25867,     -235.352
     0.856384,     -149.108
     0.868388,     -144.698
     0.809541,     0.403734
     0.922954,     -317.407
     0.939296,     -158.688
     0.860641,     -425.682
     0.904476,     -208.548
     0.989068,     -142.846
     0.989088,     -142.846
     0.922988,     -270.836
     0.810606,     0.195774
     0.903367,     -222.031
     0.867584,     -700.578
      1.25247,     -74.7725
     0.848075,     -875.136
     0.832431,     -113.104
      1.04018,     -747.886
      1.03974,     -747.886
      1.04861,     -133.716
      1.29333,     -257.343
      1.25869,     -333.292
      1.25949,     -392.249
      1.04164,     -137.590
     0.829783,     -296.936
     0.954520,     -139.771
      1.22193,     -186.547
      1.26051,     -251.505
      1.25036,     -211.687
     0.765295,     0.303430
      1.25984,     -268.315
      1.27791,     -311.788
     0.830819,     -414.228
     0.954352,     -497.185
      1.16392,     -157.875
      1.09373,     -354.710
      1.25144,     -96.3230
     0.906543,     -124.355
     0.906512,     -124.355
      1.12434,     -152.050
     0.802545,     -477.416
      1.25932,     -108.566
     0.801449,     0.504119
      1.16160,     -215.897
      1.32944,     -240.003
     0.802834,     -280.237
      1.25821,     -250.916
     0.928035,     -131.392
     0.823674,     -124.667
      1.05561,     -344.152
     0.987488,     -159.754
     0.748059,     0.451820
      1.27012,     -427.195
      1.07609,     -201.803
     0.821836,   -0.0270114
      1.22986,     -377.666
     0.848423,     -673.071
      1.07539,     -234.383
      1.36007,     -127.828
     0.816627,     -496.445
      1.02504,     -318.229
     0.823973,     -565.956
      1.12543,     -223.444
      1.10294,     -213.772
     0.812298,      2.30262
     0.789183,     0.670869
     0.814012,     0.467036
     0.813489,     0.830531
     0.809974,     -788.538
      1.02692,     -233.460
      1.22824,     -299.102
      1.22826,     -299.102
     0.809826,     0.991805
     0.941890,     -342.596
     0.810567,     0.384771
     0.812583,     -163.939
      1.05634,     -224.040
     0.933146,     -175.656
      1.02964,     -232.399
     0.788503,      1.12886
     0.811972,     -142.916
      1.25369,     -190.783
     0.847947,     -287.237
     0.812923,     0.296529
     0.807321,     0.500131
     0.814178,     -142.159
     0.766134,     0.838132
     0.811098,     -333.302
      1.19220,     -194.728
      1.04301,     -111.291
     0.986709,     -255.132
     0.986720,     -255.132
     0.988003,     -315.736
     0.819323,     -226.624
     0.813749,     -167.660
      1.24678,     -196.236
     0.833548,     -232.304
     0.940183,     -121.190
     0.778503,     0.359644
      1.25590,     -552.882
      1.02916,     -99.5623
      1.21872,     -171.046
     0.826536,     -231.277
     0.809544,     0.310058
     0.939930,     -189.267
     0.985750,     -216.919
     0.829232,     -617.460
     0.825417,     -416.452
      1.28339,     -158.155
      1.08212,     -388.250
     0.853505,     -264.723
     0.826426,     -414.672
      1.02875,     -275.442
      1.02839,     -65.0993
     0.850600,     -242.757
     0.824855,     0.626502
      1.25583,     -196.412
     0.809857,     0.289496
     0.760112,    0.0755974
      1.02818,     -348.410
     0.864594,     -260.400
     0.739918,      1.17433
     0.811346,     0.871604
      1.03770,     -80.1897
     0.792589,     0.196893
     0.940077,     -90.8684
     0.832118,     -551.688
      1.02718,     -307.978
      1.02934,     -211.817
     0.866724,     -202.893
     0.756626,     0.481514
     0.939409,     -431.813
     0.760351,     0.618863
     0.830204,     -193.604
      1.36561,     -123.615
     0.879779,     -155.965
      1.14489,     -109.095
     0.988545,     -72.8260
     0.960014,     -327.373
      1.38977,     -83.7656
     0.879318,     -207.394
     0.723880,     0.910863
     0.779956,      1.31879
      1.34703,     -283.054
      1.28330,     -252.953
      1.29348,     -107.004
     0.960591,     -149.186
     0.779570,     0.585302
     0.828591,     -253.697
     0.779374,     0.580855
      1.28344,     -438.121
     0.906632,     -132.097
      1.16201,     -188.744
      1.29305,     -364.233
     0.906518,     -131.047
      1.08438,     -297.925
      1.24928,     -202.262
      1.23070,     -119.479
     0.806092,     -231.186
     0.914595,     -583.722
      1.27822,     -223.743
      1.27637,     -119.503
      1.02736,     -105.408
      1.16612,     -253.117
     0.811618,     -290.247
     0.926813,     -265.335
     0.813087,     -208.934
     0.748307,     0.449148
     0.812541,     -188.706
      1.05549,     -170.816
     0.776912,     0.318877
      1.02333,     -425.172
      1.03533,     -269.081
      1.03551,     -269.081
      1.13045,     -320.120
     0.820182,     -160.916
     0.902399,     -1140.52
     0.901998,     -198.279
     0.902024,     -198.279
     0.767958,      1.23078
     0.812391,     0.561709
     0.776741,     0.218226
     0.998384,     -472.893
      1.12357,     -188.266
      1.24800,     -196.913
     0.990985,     -274.480
      1.24665,     -113.184
      1.23648,     -359.566
      1.23641,     -359.566
     0.835521,     -235.823
     0.953348,     -232.643
      1.27235,     -249.782
      1.02661,     -319.216
      1.24829,     -111.442
     0.835425,     -176.663
     0.957375,     -497.450
     0.846312,     -467.030
     0.986108,     -226.788
      1.09994,     -104.659
     0.941084,     -423.059
     0.985387,     -456.201
      1.15041,     -261.709
     0.869736,     -291.919
      1.24259,     -165.828
     0.962201,     -244.569
     0.941167,     -233.859
      1.37549,     -2091.36
     0.766011,     0.732346
     0.765115,     0.454362
     0.850579,     -115.149
     0.804277,     -168.647
     0.833288,     -727.352
     0.988473,     -158.185
     0.811248,     0.351118
      1.11180,     -316.028
      1.20095,     -509.782
     0.810375,     0.770276
     0.988937,     -355.926
     0.989110,     -161.995
      1.29530,     -179.223
     0.988360,     -160.147
      1.19585,     -264.417
     0.989931,     -394.715
     0.830786,     -390.239
     0.814244,     0.156033
      1.02557,     -244.327
      1.18251,     -306.100
     0.916375,     -74.7458
     0.933670,     -194.010
      1.05247,     -87.0561
     0.922974,     -235.431
     0.953706,     -1331.94
     0.822927,     -264.860
      1.28609,     -364.458
     0.812520,     -173.792
     0.770474,      1.80513
     0.811150,   0.00855892
      1.02660,     -238.626
      1.02634,     -238.626
     0.828829,     -241.723
     0.994053,     -266.837
     0.988895,     -66.2298
      1.14652,     -164.268
      1.28697,     -184.821
     0.813051,     0.302005
     0.988831,     -227.952
      1.40191,     -96.4789
     0.989323,     -450.536
     0.748574,     0.664316
     0.828964,     -158.229
     0.747787,     0.410104
     0.747634,     0.410104
     0.901116,     -660.875
     0.750578,     -1449.91
     0.775483,     0.157589
     0.994913,     -359.521
     0.835159,     -276.901
     0.985630,     -186.078
     0.749105,     0.211825
     0.836491,     -425.913
     0.805172,    0.0854253
     0.802085,     0.193902
     0.747719,     0.295145
     0.990450,     -301.849
     0.903074,     -211.737
     0.926273,     -95.6273
      1.29079,     -185.550
     0.767491,     0.295813
      1.05050,     -210.635
     0.989709,     -286.886
     0.977838,     -211.324
     0.990993,     -294.391
      1.02284,     -751.057
      1.08079,     -200.990
      1.33399,     -386.782
      1.03732,     -112.735
      1.02676,     -391.665
     0.875413,     -283.186
     0.811435,     -1872.20
     0.820583,     0.229856
      1.25127,     -99.9228
      1.10223,     -210.664
     0.942366,     -119.771
     0.811007,     -433.850
     0.810977,     -433.850
     0.987408,     -187.464
     0.810512,     -257.561
     0.849287,     -229.362
      1.02600,     -740.268
     0.935902,     -584.764
      1.23518,     -215.195
     0.848683,     -243.766
     0.937547,     -147.581
      1.22870,     -154.567
      1.02634,     -255.079
     0.936527,     -99.9567
     0.849613,     -305.275
      1.19209,     -106.019
      1.19202,     -106.019
     0.848900,     -249.005
      1.03629,     -222.471
     0.835394,     -261.639
     0.835363,     -261.639
      1.03582,     -269.230
      1.21137,     -206.498
      1.28163,     -174.512
      1.20204,     -269.772
      1.39695,     -150.109
      1.24049,     -231.963
     0.792162,     0.555595
     0.766770,      1.23160
     0.851982,     -192.089
